KEGGID,Description,GeneRatio,BgRatio,pvalue,padj,Count,Up,Down,geneName
hsa05206,MicroRNAs in cancer,96/3274,166/9012,1.07227125202805e-8,3.58138598177369e-6,96,56,40,SERPINB5/ERBB3/ABCB1/STMN1/MYC/CCND1/NOTCH2/THBS1/MARCKS/RPS6KA5/VIM/KRAS/CDKN1A/E2F1/KIF23/CCND2/FSCN1/BCL2/BMPR2/BCL2L11/HMOX1/PLAU/MAPK3/DDIT4/SOS1/BMF/ITGA5/GLS/IRS2/RDX/MET/CDKN1B/TGFB2/SOS2/VEGFA/TP53/SLC7A1/CDCA5/EFNA5/EFNA3/NOTCH3/STAT3/CDK6/EFNA1/CRK/PIK3CB/EP300/PRKCA/SOCS1/CRKL/PLCG1/IRS1/DNMT1/PLCG2/PIM1/TP63/BRCA1/CD44/PIK3CA/MDM2/CYP1B1/CCNE1/MAP2K1/MAPK7/SIRT1/CREBBP/SLC45A3/SOX4/EZR/NRAS/DICER1/RHOA/CDC25C/CDC25B/BMI1/PIK3R3/PTEN/BAK1/SHC1/RASSF1/ST14/ROCK1/GRB2/MAP2K2/NOTCH1/E2F2/CDC25A/SHC4/RAF1/HNRNPK/EFNA2/UBE2I/DNMT3B/GLS2/TNXB/APC2
hsa00970,Aminoacyl-tRNA biosynthesis,35/3274,48/9012,2.57915464101965e-7,4.30718825050281e-5,35,13,22,AARS/VARS/GARS/CARS2/TARS/YARS/MARS2/MARS/CARS/FARSB/WARS/DARS/QARS/EARS2/SARS/YARS2/SARS2/VARS2/FARS2/KARS/LARS2/EPRS/TARS2/WARS2/HARS/RARS2/PSTK/IARS2/FARSA/NARS2/PARS2/DARS2/GATB/NARS/QRSL1
hsa04931,Insulin resistance,62/3274,111/9012,1.94749455917655e-5,0.00216821060921656,62,43,19,PYGB/PTPRF/CPT1A/RPS6KA3/INSR/PCK2/PPP1CB/CREB3L3/PPARA/PRKCD/PRKAA1/NFKBIA/GFPT1/MLXIPL/SLC2A1/RPS6KA6/IRS2/AGT/OGA/TNFRSF1A/SLC27A3/PCK1/CREB3L4/NR1H2/PPP1R3C/G6PC3/NR1H3/STAT3/SREBF1/PRKAG1/PRKAA2/PIK3CB/AL512328.1/CREB3L2/GSK3B/PPP1R3B/IRS1/PPARGC1A/OGT/TBC1D4/PRKAB2/PTPN11/PIK3CA/CREB1/MLXIP/SLC27A4/CREB3L1/CREB5/SLC27A2/PTPA/TRIB3/PRKCZ/PDPK1/PRKAB1/SLC27A1/RPS6KB1/PIK3R3/PTEN/PPARGC1B/CRTC2/TNF/RPS6KA1
hsa04935,"Growth hormone synthesis, secretion and action",62/3274,114/9012,5.79102178584548e-5,0.00331958491004774,62,42,20,MAP2K3/GNAQ/PRKACB/KRAS/SHC2/CREB3L3/GNAI2/MAPK13/MAPK3/SOS1/JAK2/IRS2/SOS2/ITPR3/ADCY6/JUNB/CREB3L4/PTK2/ATF4/ADCY3/MAPK14/STAT3/PLCB3/CRK/PIK3CB/CREB3L2/EP300/PRKCA/SOCS1/CRKL/ADCY4/PLCG1/GSK3B/IRS1/PLCG2/PIK3CA/SHC3/CREB1/MAP2K1/CREB3L1/CREB5/CREBBP/MAPK11/NRAS/ITPR2/SOCS2/PIK3R3/GNAS/SHC1/MAP2K4/IGFBP3/GNAI3/FOS/STAT5A/ITPR1/GRB2/MAP2K2/ADCY10P1/SHC4/RAF1/CACNA1D/MAP2K6
hsa05226,Gastric cancer,73/3274,139/9012,6.28985201253812e-5,0.00331958491004774,73,37,36,ABCB1/CDH17/MYC/FGF19/CCND1/GADD45A/FGF2/KRAS/CDX2/SHC2/CDKN1A/E2F1/PRSS23/FGF18/BCL2/MAPK3/SOS1/FZD5/CTNNA1/SMAD4/MET/CDKN1B/TGFB2/SOS2/WNT10A/FGF9/TP53/CSNK1A1/TCF7/LEF1/FZD1/AXIN1/GAB1/PIK3CB/GSK3B/WNT7B/TCF7L2/LRP6/WNT2B/TGFB3/PIK3CA/SHC3/BRAF/TGFBR2/CCNE1/MAP2K1/RARB/FZD2/RXRA/NRAS/REG4/MLH1/RPS6KB1/PIK3R3/FRAT1/BAX/BAK1/SHC1/GADD45B/JUP/GRB2/MAP2K2/E2F2/GADD45G/SHC4/RAF1/MUC2/WNT16/SHH/FGFR2/CDK2/FZD7/APC2
hsa05161,Hepatitis B,86/3274,169/9012,6.64450706845741e-5,0.00331958491004774,86,48,38,NFATC4/IRAK1/MYC/MAP2K3/IRF7/DDX3X/KRAS/CDKN1A/CREB3L3/E2F1/BIRC5/MAPK13/APAF1/NFKBIA/BCL2/EGR3/IFNAR1/MAPK3/SOS1/JAK2/SMAD4/TGFB2/SOS2/TLR4/MYD88/FAS/PCNA/TP53/JAK1/CREB3L4/ATF4/BID/MAPK14/YWHAZ/CCNA2/STAT3/TAB2/MAVS/PIK3CB/CREB3L2/DDX58/EP300/PRKCA/CXCL8/SRC/JUN/TGFB3/JAK3/TLR3/EGR2/PIK3CA/STAT6/CREB1/BRAF/FADD/TGFBR2/CASP10/CCNE1/MAP2K1/CREB3L1/IKBKE/CREB5/CREBBP/MAPK11/NRAS/TBK1/IFIH1/PIK3R3/BAX/CYCS/MAP2K4/TLR2/FOS/STAT5A/TYK2/IRAK4/GRB2/MAP2K2/E2F2/RAF1/ELK1/TNF/MAP2K6/HSPG2/CDK2/VDAC3
hsa04071,Sphingolipid signaling pathway,68/3274,128/9012,6.95721388333359e-5,0.00331958491004774,68,47,21,MAP3K5/GNA13/GNAQ/KRAS/SPTSSB/GNAI2/RAC1/MAPK13/BCL2/SPTLC2/BDKRB2/MAPK3/PPP2R2A/GAB2/TNFRSF1A/ACER2/SGPP2/SGMS1/SGMS2/TP53/BID/CERS2/MAPK14/PLCB3/PIK3CB/PRKCA/SPTLC1/PPP2R5B/PPP2CB/GNA12/PIK3CA/PPP2R5A/DEGS1/MAP2K1/SMPD2/PLD1/MAPK11/SGPL1/NRAS/PRKCZ/PDPK1/RAC2/ASAH1/RHOA/ASAH2B/PIK3R3/PTEN/SPHK2/BAX/ROCK2/CERS6/CTSD/ROCK1/AC096564.1/GNAI3/KNG1/S1PR4/MAP2K2/SGPP1/PPP2R2D/RAC1P2/CERS4/RAC3/ASAH2/RAF1/AC068580.4/TNF/ADORA1
hsa05163,Human cytomegalovirus infection,110/3274,227/9012,1.00320872407351e-4,0.00372301904267279,110,75,35,NFATC4/MYC/CCND1/ITGAV/B2M/GNA13/GNAQ/PRKACB/CDK4/KRAS/AKAP13/CDKN1A/IL1B/CREB3L3/E2F1/GNAI2/RAC1/CALM1/GNG12/MAPK13/NFKBIA/ARHGEF1/CX3CL1/TAPBP/MAPK3/SOS1/SP1/TNFRSF1A/SOS2/ITPR3/FAS/VEGFA/TP53/ADCY6/JAK1/CREB3L4/PTK2/ATF4/BID/ADCY3/HLA-E/MAPK14/STAT3/CDK6/PLCB3/CRK/PIK3CB/CREB3L2/PRKCA/CRKL/ADCY4/CXCL8/GSK3B/PPP3CA/TSC1/SRC/PTGER2/TAP2/GNA12/IL6R/HLA-K/PIK3CA/TMEM173/MDM2/CREB1/IL1R1/ARHGEF12/GNB2/FADD/MAP2K1/CREB3L1/CREB5/IL10RB/MAPK11/NRAS/RAC2/TBK1/RHOA/ITPR2/CALM3/RPS6KB1/PIK3R3/GNAS/CCL2/BAX/ROCK2/BAK1/PPP3R1/PTGER4/CYCS/ROCK1/EIF4EBP1/GNAI3/RIPK1/ITPR1/GRB2/MAP2K2/HLA-G/E2F2/RAC1P2/CALR/RAC3/RAF1/ELK1/TNF/MAP2K6/PTGER1/CXCR4/GNB1/CALM2
hsa05205,Proteoglycans in cancer,110/3274,227/9012,1.00320872407351e-4,0.00372301904267279,110,63,47,FLNA/ERBB3/MYC/CCND1/COL1A1/RPS6/THBS1/CAV1/SLC9A1/ITGAV/FGF2/PRKACB/ACTB/PPP1CB/KRAS/TFAP4/CDKN1A/RAC1/PRSS23/MAPK13/ARHGEF1/GPC1/PLCE1/SDC1/PLAU/MAPK3/PAK1/SOS1/ITGA5/FGFR1/FZD5/VTN/CAV2/RDX/CTSL/MET/SDC2/TGFB2/SOS2/TLR4/ITPR3/WNT10A/FAS/VEGFA/TP53/PTK2/MAPK14/STAT3/SDC4/FZD1/CAMK2D/ITGB1/GAB1/MRAS/NUDT16L1/CTTN/PIK3CB/PPP1R12A/PRKCA/VAV2/CBL/PLCG1/WNT7B/SRC/PLCG2/PPP1R12B/PLAUR/WNT2B/MSN/CD44/PTPN11/PIK3CA/MDM2/BRAF/ARHGEF12/FLNB/RRAS/MAP2K1/ITGA2/EZR/MAPK11/FZD2/NRAS/PDPK1/ANK1/RHOA/ITPR2/RPS6KB1/PIK3R3/ROCK2/AC022149.1/IQGAP1/ROCK1/PTCH1/TLR2/FN1/ITPR1/GRB2/MAP2K2/RAC1P2/RAF1/ELK1/TNF/WNT16/SHH/HSPG2/EIF4BP3/DDX5/FZD7/VAV1
hsa04151,PI3K-Akt signaling pathway,157/3274,343/9012,1.5737005753642e-4,0.00525615992171643,157,90,67,FGFR4/ERBB3/EPHA2/MYC/FGF19/CCND1/BCL2L1/EREG/IL4R/LAMB1/COL1A1/RPS6/THBS1/INSR/ITGAV/OSMR/FGF2/PCK2/COL4A2/CDK4/KRAS/CDKN1A/CREB3L3/ITGB6/PRKAA1/RAC1/COL9A2/CCND2/GNG12/FGF18/BCL2/BCL2L11/MAGI2-AS3/IFNAR1/MAPK3/DDIT4/FOXO3/SOS1/CSF1/ITGA5/FGFR1/MLST8/PPP2R2A/JAK2/LAMA5/VTN/LAMB3/MET/CDKN1B/PKN2/SOS2/TLR4/PCK1/SPP1/FGF9/VEGFA/TP53/EFNA5/JAK1/CREB3L4/PTK2/ATF4/G6PC3/ITGA10/EFNA3/YWHAZ/LPAR2/CDK6/ITGB1/COL9A3/EFNA1/PRKAA2/PIK3CB/CREB3L2/AREG/MAGI1/PRKCA/GSK3B/IRS1/PPP2R5B/CHRM1/ITGB7/TSC1/PPP2CB/COL4A4/EPOR/FLT4/IL6R/HSP90AB1/MYB/SYK/JAK3/BRCA1/NR4A1/ITGA3/ITGA6/PIK3CA/PPP2R5A/MDM2/RBL2/CREB1/GNB2/CDC37/VEGFB/IFNAR2/CCNE1/MAP2K1/CREB3L1/ITGA2/CREB5/PIK3AP1/RXRA/NRAS/CHAD/LAMA2/PDPK1/CSF3R/LPAR1/THEM4/COL4A6/RPS6KB1/PIK3R3/ITGB8/PTEN/PKN3/F2R/ABALON/ARTN/COL4A1/ITGA7/AC135506.1/AC022149.1/PDGFC/ITGA1/CRTC2/TLR2/EIF4EBP1/FN1/GRB2/IL7/MAP2K2/PPP2R2D/RAC1P2/RAF1/PRLR/PDGFD/PHLPP2/EFNA2/TGFA/EIF4BP3/FGFR2/LAMC1/BDNF/CDK2/PHLPP1/TNXB/GNB1
hsa04933,AGE-RAGE signaling pathway in diabetic complications,54/3274,100/9012,2.17538920963209e-4,0.00660527269106471,54,32,22,EDN1/CCND1/IL1A/COL1A1/PLCD3/COL4A2/CDK4/KRAS/DIAPH1/IL1B/PRKCD/RAC1/MAPK13/BCL2/PLCE1/MAPK3/JAK2/AGT/SMAD4/CDKN1B/TGFB2/VEGFA/ICAM1/MAPK14/STAT3/PLCB3/PIK3CB/AL512328.1/PRKCA/CXCL8/PLCG1/PLCG2/COL4A4/JUN/AGTR1/PIM1/TGFB3/PIK3CA/TGFBR2/VEGFB/F3/MAPK11/NRAS/PRKCZ/COL4A6/PIK3R3/CCL2/BAX/COL4A1/FN1/STAT5A/RAC1P2/TNF/THBD
